"ContractType","PaymentMethod","Autopay","ServiceType","MonthlyCharges","DateOfServiceStart","ServiceCalls","DataUsagePerMonth","CustomerAge","Churn","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"1-Year","Bank Transfer","Yes","DSL1",34.59,2012-01-24,3,292.85,54,"No","-0.982870847786856","-1.12906162419387","-0.79219569590361","-0.975443799659007","-1.11840901367682","-1.00699474904285","-1.14254056475878","-0.596651374571413","-0.66339884531329","-1.08214400409917","","-1.21911868863795","","-0.623462061779179","-0.920259442292089","-1.03505236815902","-1.01556244459534","-1.46980942149492","","-0.980472100256662"
"1-Year","Bank Transfer","Yes","Other",52.91,2019-04-12,5,201.33,83,"No","-1.02695426794563","-0.708580999158698","-0.880261538853065","-0.32938789442605","-1.08631759907496","","-0.899086857558351","-1.08246400375262","-0.683784361718902","-0.825759311695603","-0.252971872129944","-1.0844879332497","-0.365468293625111","-0.77008904524227","-1.12225257552532","-0.294111831821096","-0.615710961021205","-0.939947326638663","0.00866800572103135","-0.0358040202221494"
"Monthly","Bank Transfer","Yes","DSL3",85,2011-02-17,3,242.03,26,"No","-0.381723183159848","-0.960962068048457","","-1.38809061198756","-0.819543180318977","-0.795407727099788","-1.05976421675558","-1.13129160304017","-0.51249329924618","-0.600890313706731","-0.920109288216504","-1.02859652113884","-1.80475914620353","-0.669498528317258","-0.920407313892037","-0.602972282701302","-0.819591674518351","-0.810334068724806","-1.24845439698136","-0.890610834760833"
"2-Year","Check","No","Fiber Optic",59.9,2014-04-16,5,242.87,44,"No","-2.0883860262554","-2.26561634760348","","-2.18423003426165","-2.27202647903905","-2.18255673593576","-2.08399933228315","-2.27914888435205","","-2.67987057939851","-2.53340359069339","-2.35240512559485","-2.51326000195565","-2.40017046032915","","-2.55321397207083","-1.84827354044741","-1.97236807523221","-2.14299168638799","-1.87824986180682"
"Monthly","Credit Card","Yes","Fiber Optic",93,2014-04-27,1,230.91,50,"No","-0.93642810189054","-0.712851219388824","-0.771278440743654","-0.449165680368425","-0.820520575633955","-0.909539656919114","-0.639378476186749","-0.471602717587361","-0.849983432688889","-0.772550273019337","-0.800277589362567","-0.317271093566211","-0.0305187478543038","-0.689392183548734","-0.180926920752921","-0.86639667357054","-0.585724656210184","","-0.716116767886474","-0.692158784007374"
"2-Year","Check","No","Fiber Optic",57.42,2010-03-19,4,197.24,53,"No","-0.544665137214564","-0.0807033074780674","0.362019471065378","0.0395087595615148","-0.170567840009828","-1.03361255189078","","0.00114476019727848","-0.284822413266085","0.199612356256692","-0.652653040121056","-0.360533828614007","0.144621610879332","","-0.059782096819369","-0.15455061970753","-0.515181533468979","-0.797460495617716","0.12805339040668","-0.132889493148104"
"1-Year","Bank Transfer","Yes","DSL2",101.08,2019-03-20,1,269.47,33,"No","1.61647091797579","2.18112581531889","2.43728923252064","1.6930975485654","1.88403893858758","1.91738155410072","2.19568531635234","2.65763018185887","2.23057060407187","2.23200792357992","2.48790572770654","1.65370195162735","","1.96514254647124","2.18184053900466","2.50328175173841","2.28561400763859","1.5527327597174","1.76752786927767","2.2669177080536"
"Monthly","Bank Transfer","No","DSL3",47.74,2014-04-19,3,166.43,53,"No","-3.04502195514124","-2.56193632682043","-3.28975922604909","-2.46595164169055","-2.76449651697784","-2.74330379418377","-2.58288792379767","","-2.03593406774369","-2.79354556316851","-2.1519883919457","-3.05610767673622","-2.25324357268339","-2.09161213246613","-2.54103370966526","-2.42026597944449","-2.82196537872293","-2.29841669620516","-2.91489409310696","-2.13397881092941"
"Monthly","Credit Card","Yes","Other",66.32,2012-11-03,1,116.64,46,"No","0.587087863185018","0.340439787311015","0.191093378454682","0.467557885358557","-0.002768134378814","0.725166927993412","0.560170096484953","","0.242749583458912","0.495623169839081","0.687792774958443","0.333500890505317","0.0910155519980015","0.146450837508336","0.419892090290058","1.23080433340225","0.28392955944942","0.0513410340147709","0.669611297849994","0.862012661552445"
"1-Year","Bank Transfer","Yes","DSL3",51.35,2011-12-16,1,237.79,35,"No","-2.75279179786181","-2.54681366459876","-2.44244966204589","-2.14303127460711","-2.36890320800503","-2.65948774128335","-2.4946176569054","-1.62478670270767","-2.01534469893561","-2.25890963631336","-2.05279385001057","-2.2135371107176","-2.06041171024957","-2.2292608468839","-2.1042258672895","-1.7433605468261","-2.40257593759505","-2.58470275992788","-2.42066872863287","-2.06373598635776"
"Monthly","Check","No","Fiber Optic",57.51,2020-02-26,4,135.13,30,"No","-0.149832763166825","-1.0690787251665","-0.724703656397712","-0.293512792878493","-0.0207163405493217","-0.401856198339433","-0.226625565778645","-0.19206129603392","0.484474201460904","","","-0.427239213247549","-0.512984050625919","-0.429355147191292","-0.293809223065451","","-0.707020947885502","-0.709781220910634","-0.0866934588361614","-0.327165527206336"
"Monthly","Credit Card","Yes","DSL1",66.47,2015-01-22,0,223.52,68,"No","-1.50359258840686","-1.03635564434462","-1.9935348157329","-1.02364276698882","-1.0879636615258","-1.38025933258999","-1.40975380346384","-1.32714248367873","-1.70039452431739","-1.44716856464354","-1.48574975424123","-1.913456026139","-1.08375206511265","-1.16467108662687","-1.2634604723168","-1.26948094754326","-1.38745300630487","-2.32857102363451","-1.83888512985534","-1.62534308886389"
"Monthly","Bank Transfer","Yes","DSL2",35.94,2017-07-24,5,193.43,48,"No","","0.462981034398905","0.251188694996998","0.117426192949706","0.188901735558974","0.357982980543635","0.108565706300127","0.108747595488709","0.440410945593815","0.177243616234295","0.69645262534603","-0.509894934285933","0.666858541842918","-0.35055976549413","-0.286418553238956","0.222495259760116","-0.769095214158865","-0.145904743925837","0.371086121764823",""
"Monthly","Credit Card","Yes","Fiber Optic",77.12,2012-12-28,3,181.54,28,"Yes","-0.639387419535866","-0.62989644965614","-0.457391299306629","-0.60428550287305","-0.0971974530287831","-0.645018619387554","-0.452329682189112","-1.05104095294962","-0.625874600861219","-0.676555390736398","-0.51066043553499","-0.295850866743975","-0.660792026681504","-0.155440676491827","-0.666850264265672","","-0.0761293505728612","-0.181586497353179","-0.246735629271316","-0.362087148983022"
"2-Year","Credit Card","Yes","DSL1",82.77,2016-03-05,0,174.8,57,"No","0.346700076218324","-0.102998144351803","-0.295073954197421","-0.358013597438223","","-0.656041427315635","0.172820214243131","-0.677723794012672","-0.32078884610855","-0.265615968819842","-0.44251387436801","0.569255724587972","","","","","","-0.290633867402951","-0.433395650056695","0.209993077988452"
"Monthly","Credit Card","Yes","Other",103.92,2014-07-20,4,242.14,59,"No","","0.36085246864824","0.569830603482582","-0.376269825904764","-0.172913268219447","-0.031900109912992","0.624725657269699","0.510244687955282","0.407837774087435","-0.533426788420056","-0.130981391211711","0.0974199350077907","0.287040619488557","0.221840650406942","0.289946871867211","0.490183670832692","0.228445508042703","0.357082914673349","0.25483230807824","-0.0163384857872993"
"1-Year","Check","No","Other",72.83,2019-07-25,2,84.96,65,"No","0.557033417865488","0.245325103590888","0.0321004322406999","0.132120370157672","","0.383760574668034","-0.184028848548682","0.0927220371647872","-0.0529296698364625","0.218949135154441","-0.384780336112821","-0.0280594081652159","0.0995553300428372","0.0713567264360236","0.0626196780034838","0.335630882000678","-0.44992987625368","0.310660138043973","0.232830389852508","0.346287460765148"
"2-Year","Bank Transfer","Yes","DSL2",70.46,2015-04-24,3,160.55,48,"No","-1.07286459791785","","-0.460287284429813","-0.45928822047246","-1.29355686857334","-0.773616440115714","-1.08870259007004","-1.1728378789293","-1.18003386552011","-1.08819399119063","-1.36556338198976","-0.501838607511389","-0.77714314406008","-0.798779989370265","-0.972153257161194","-1.49879574850919","-0.744536398483722","-1.31552367185378","-0.441893585340294","-1.21453145670402"
"1-Year","Check","No","Fiber Optic",84.12,2010-12-25,1,209.28,48,"No","-0.17821211020194","0.373616854073942","","0.885389844573876","0.409541438798475","0.586505021073532","0.155594581438614","-0.0201224111033304","0.470826563168938","0.581790408538544","-0.0996345066102393","-0.631640942768708","-0.0330294970638605","-0.0097327245030915","0.980689778727314","","0.144671708564155","0.166359073671665","0.301280506738196","-0.0537575225805712"
"2-Year","Bank Transfer","No","Other",79.29,2010-11-11,3,158.61,60,"No","-1.02868874236638","-0.625765055286443","-0.585007266869886","-0.597696182295138","-0.667784823038937","-0.336041665808367","-0.387974138727044","-0.772855387587936","-0.619271855514165","-0.625133660454145","","-0.653131564699576","0.0241946769478612","","-0.540634092572485","-0.896448250567343","-0.206306841432031","-0.318867398217789","-0.557158793221464","-0.0476698534894242"
"Monthly","Bank Transfer","No","Fiber Optic",71.9,2018-03-05,3,161.48,56,"No","-0.553423030987655","-0.107328939805716","-0.780110781301023","0.0341607752880982","-1.15418443623086","-1.0315724253539","-0.770124397075555","-0.433427673965772","-0.149450327237251","-0.612465611191608","-0.335294591487453","-0.217376481504205","-0.238893419557055","-0.73745267154479","-0.644604082528798","-1.0437655839191","-0.781436625061956","-0.925573844191346","-0.96483641602358","-0.281709346951114"
"1-Year","Credit Card","Yes","DSL2",82.69,2019-11-18,3,180.21,93,"No","-0.904393481131697","-0.357419605345193","-0.351472474486145","-0.69413049157433","-0.924105892381095","-0.377229413548177","-0.0893075553683201","-0.489120759462429","-0.408038384105812","-0.881886767480056","-0.260922477976085","-1.14701946718284","-0.951869363298764","-0.379185880067265","-0.638770055577038","","-0.42805431585561","-0.564280603415029","-0.04260252423598","-0.739495020658895"
"1-Year","Bank Transfer","No","Fiber Optic",65.9,2014-10-05,6,264.94,58,"No","1.50981036109157","1.9448062965531","1.58629516675821","1.67147196680483","","1.92741185645448","1.69245722688217","1.52441355849303","1.6525926114593","1.7814826996576","1.09892708306649","1.39031564902202","1.64726236061059","1.473502407434","1.93363638654603","2.05265720027953","1.68112744411997","1.53843207947316","1.51284966319514","1.64463120303866"
"1-Year","Check","No","Other",70.44,2015-08-22,2,132.61,71,"No","-0.616921258189219","-0.624698298182023","0.0098021996692962","-0.521419624425199","-0.308755904854355","","-0.594555746280595","-0.741423480791098","-0.39214719242928","-0.538689265913351","0.188702720983592","","-0.341142117685537","-0.254643022750123","-0.389629188834276","-0.412255551293147","-0.573923587517088","","0.240026313851009","-0.799319391088265"
"1-Year","Bank Transfer","No","DSL2",71.67,2017-01-14,1,104.01,58,"Yes","-1.10699312430619","-0.47329401030335","-1.38683858194779","-1.1499180648499","-1.51297845428366","-0.990385418924777","-0.592356256552474","","-0.662949040316064","-0.759144291566925","-0.978744158808274","-0.579882725936201","-0.681110895319828","-1.02876705772997","-1.21241165714955","-1.06351396607884","-1.02348097743147","-1.25582267860264","-0.39471427182985","-0.541235001279619"
"2-Year","Credit Card","Yes","DSL3",97.48,2014-12-16,1,230.01,67,"No","-1.06822837725191","-0.685157006455217","-1.77112897970441","-1.27455845512113","-1.1719980122245","-1.45652265026114","","-1.38192914370457","-1.30875432181683","-1.49729092815631","-1.10875039123622","-1.15052781026663","-1.65940325030102","-0.837660988520699","-0.821229059676521","-1.16192869897862","","-1.03426598817847","","-1.02318877803793"
"1-Year","Bank Transfer","No","Fiber Optic",90.9,2012-11-28,6,215.08,58,"No","0.210815608095901","0.504782418451094","0.0244032066195366","0.28081136791554","-0.181980173688588","0.290968765306143","0.390369190918563","0.272909933837964","0.164936247760578","0.0231461237918957","0.42006497888871","-0.220747465178958","0.506105043130642","0.406817433336043","0.430316019479813","-0.000737478074506154","0.214607865253305","0.237785418452646","0.190582677236403",""
"2-Year","Bank Transfer","Yes","Fiber Optic",73.85,2014-12-10,6,229.2,59,"No","0.801195896550331","0.753406886959021","-0.106942572130211","0.350390802450757","0.719101037004599","0.11581163307858","0.388560774181746","0.257329536848333","0.215569152984561","0.486149516098475","-0.0461337454638996","0.28168949378609","0.0316663414328523","0.279584970884361","0.00510340558057961","-0.184954652236923","0.124254879075693","0.0265029682579799","0.801230800860783","0.824907010666768"
"Monthly","Credit Card","Yes","Other",42.92,2010-10-07,1,202.92,30,"No","-1.40660651022825","-1.40465032111232","-1.74450937619534","-1.24898628836828","-1.53190608975424","-1.06970132951775","-1.89779311875924","-0.789596618637015","-1.689411758824","-1.07990384880701","-1.12064782993768","-1.81781780158197","-1.2773514741211","-1.53033877467036","-1.36132821453995","-1.74815969800387","-2.20287026861987","-1.42776972554938","-0.598172422399837","-1.36052388599982"
"2-Year","Check","Yes","DSL2",74.01,2020-04-02,4,275.71,42,"No","1.72380826791565","2.02034004109134","1.48602550664031","0.910226943540681","2.00292688014398","1.9200241489604","1.62314986677832","0.598513603631395","1.34113601491126","2.01456668376096","2.13262004097929","1.60560199329754","1.23081972032577","1.8221010961502","1.63072000850831","1.12765083562132","1.88436747052001","2.17384703936117","1.33766021812911","1.1483889781721"
"Monthly","Bank Transfer","No","Other",85.03,2020-08-26,2,248.58,38,"No","0.00161970487397605","0.719949043578135","0.684589288623481","0.399451558996847","0.547022059681306","","0.117901845048735","0.316828916699483","0.501000310873362","0.633989392881506","0.518032126109297","","","0.361190578235122","0.100463652242919","0.210971577110589","0.447554016227703","0.605451544394777","0.254072110797645","0.538861199147127"
"Monthly","Check","No","Fiber Optic",66.42,2014-06-28,2,230.99,31,"Yes","-0.164116312032419","-0.214327149993757","-0.105226980144587","-0.225424849775923","-0.333223579947055","","-0.28540713965773","-0.568783281048857","-0.785999488696479","-0.324378790691342","-0.714835113491801","-0.559435658242782","-0.79744712073663","-0.900506489591489","-0.898833713713435","0.0892896219235264","0.294403529401033","-0.261414822607052","-1.1379133219972","-0.296859756115723"
"Monthly","Credit Card","Yes","DSL1",38.83,2012-10-22,3,142.38,54,"No","-0.118669526457317","-0.210218917244408","-0.119210315251468","-0.00822316302102345","-0.451403704421779","-0.383434952468505","-0.400159054121359","-0.286309792840397","-0.118860542085248","-0.516103623598791","-0.539861720182879","0.429182350784187","-0.360698670245262","-0.484627537324189","-0.343487292399158","0.115075192943597","-0.156506839108571","-0.451109536456514","-0.31253114400744","-0.603124137698836"
"1-Year","Check","No","Fiber Optic",58.89,2016-01-25,4,262.17,54,"No","-1.67205236210063","-1.65485544625518","-1.35465699914373","-1.61139035107982","-1.89355224658689","-1.24610396802446","-1.84055777216817","-1.66044833745053","-1.96932521957993","-1.72005876180926","-2.21715596050351","-1.37617466534731","-2.12690654683006","-2.29573118828064","-2.17578583718081","-1.72559848567085","-1.50260975315328","-1.67545005274698","-1.88628430126059","-2.12410144374753"
"1-Year","Check","No","Fiber Optic",81.26,2017-02-09,2,275.98,54,"Yes","-0.2299223562332","0.414374955311577","-0.108836434977859","-0.293322611426162","0.345815212292684","-0.146887843007638","-0.0541133788978637","-0.0147939227824142","","-0.581763212616908","0.410902246441054","0.281376467156803","","-0.369407620741655","-0.702856248955115","0.817685762018089","0.29801840147516","0.28166635720386","0.138537436406739","0.024992079826495"
"2-Year","Bank Transfer","No","DSL3",74.29,2016-05-09,4,237.94,55,"No","-0.496064325767568","","-0.398563719289482","-0.439465233817309","-0.369533554299632","-0.178691627732227","-0.0968446137298927","","-0.506257705942826","-0.501436104956282","-0.808440073246319","-0.735225415660128","-0.360675968016874","","-0.644968228540985","-0.469526978061873","-0.705936986337619","-0.692149552663208","0.0660578157160132","-0.821781757876642"
"Monthly","Credit Card","Yes","Fiber Optic",105.93,2020-09-09,6,237.41,51,"No","0.137054317807509","0.0532247848875449","1.05740775639422","-0.173337520371889","0.258497603097289","","0.745494688136713","0.621289314501351","","0.350444145984117","0.231138641254565","0.44650582437941","0.302634032475414","0.429359954195015","-0.332115913992257","0.557802147820784","0.088346163979882","-0.038259886409801","0.0568438648518326","0.139611367038107"
"1-Year","Check","No","Fiber Optic",82.86,2016-11-03,1,267.52,49,"No","-0.172506437454678","-1.15801411480203","-0.617818537245504","","-0.981740906632429","-1.2394129062516","-0.760506931505318","-0.300976616038458","-0.752951188725864","-0.651521849437349","-0.64786707847797","-0.739887894490633","-0.738373999379745","-0.88767505525054","-0.757384649957356","-1.0320465580058","-0.99319951068663","-0.380532215125983","",""
"2-Year","Check","No","DSL1",75.36,2020-07-13,2,255.3,51,"No","-1.19188512339199","-0.463561282800278","-1.04135394061018","-1.13527409977492","","-0.678354414439548","-1.11668505204682","-0.965057617759166","-0.845861869912622","-0.509754338425378","-0.118766433291114","-0.846092910132424","-0.847592422898866","-0.793085046111049","","-1.00052005420406","-0.765174178110959","-0.603645856679298","-0.665392914588137","-1.29240313593076"
"1-Year","Credit Card","Yes","DSL3",82.19,2011-08-20,2,197.33,31,"No","0.129833425571244","-0.0951579686602912","0.342788066049631","0.241258259995736","","0.15793051647563","-0.485212045591596","0.643745073821884","","-0.456660123982143","-0.0967773860039383","0.0815820724388769","-0.269078916055106","","0.200972451297674","-0.380635203548416","0.0674116601782805","-0.0831216192165197","0.0814594397710663","-0.00654087206430447"
"1-Year","Bank Transfer","No","DSL3",108.61,2020-09-08,3,265.58,37,"No","1.34418394220317","1.33623638451993","0.819388611991078","1.02203043460623","0.948511125107136","1.42139416190759","0.707515285273862","1.43405326451244","1.37969660589275","1.42717330378837","0.969833743015453","0.800990681640838","0.860682203959793","0.852336208562756","1.02847813684123","1.2741944806578","1.79064923927556","0.634349315404701","0.986864263388242","1.34953377313489"
"1-Year","Check","No","DSL2",63.76,2020-10-25,5,125.65,37,"No","1.15239859238564","1.51625673527586","0.874600904476009","0.994043378175841","1.61416537836903","0.922597831609862","1.49872037124693","1.46059217911304","","1.32690566478639","1.13192908524101","0.737555864264304","1.10652902382994","1.32991764117286","1.47179655169918","1.92436748384954","1.30535888085422","0.802309621393278","1.71138611424771","1.68883052443168"
"1-Year","Check","No","DSL3",83.86,2015-08-11,4,244.31,56,"No","0.408168422808062","0.561290145448454","","-0.138678968834299","0.271449790930321","0.564493043220938","0.290691602520144","0.646065085788107","1.27066260782487","0.864229777779971","0.349841553503289","0.69189231000043","0.529910412070378","0.283514848504307","0.796965986456019","0.785473654536154","","0.713414193950976","0.791607287182098","0.179647506333128"
"Monthly","Credit Card","Yes","Fiber Optic",76.52,2016-05-21,6,182.89,57,"No","2.13077599192584","1.48955128038188","1.42502109065127","1.65356532346857","1.62585818651955","1.60210999373311","1.92728235635517","2.30075733136718","1.67218535917164","","2.22974095651195","1.60965595432792","","1.76151679899404","2.07616135163738","1.95311356771583","1.85426361488841","1.80064226158941","2.20272054141328","2.10717021819144"
"2-Year","Credit Card","Yes","Fiber Optic",85.87,2013-01-13,0,208.98,34,"No","2.04920192668237","2.10404759661864","","1.49931736334939","1.87055097794834","1.58776379637398","1.30733343754578","1.73794115309983","","2.07457880059205","1.48598522507588","","1.59330809575983","1.70102468870822","2.51872468909266","1.46012957434839","1.7253571736864","","1.75944042607167","2.21786128007421"
"Monthly","Bank Transfer","Yes","DSL3",59.18,2017-10-21,1,210.78,64,"No","1.09622576202824","0.535128393642083","0.376091735199438","0.336783204115194","0.652576784671658","0.366753175587078","0.73545923244104","0.834091589992174","0.322356527795868","0.800955214203398","0.618273592800794","","0.845964074218586","0.519798040310439","0.369416461377642","1.0444336808158","0.729317563672309","0.703692564924238","0.488017126941896","0.955129200337649"
"Monthly","Credit Card","No","DSL3",60.46,2014-03-02,3,111.99,61,"No","-0.185717223232425","","-0.313963057013183","-0.609298992928286","0.0652233362806216","-0.4929739405561","-0.779752617376793","-0.352587193804829","0.129709349589493","-0.00271306402625923","-0.428267295288725","","-0.517254392071772","-0.261317843867884","-0.452231136314925","-0.513318887161911","-0.608846803955951","-0.546674433613498","-0.439606125565192","-0.38259507143108"
"Monthly","Credit Card","No","Fiber Optic",77.53,2015-05-16,1,128.1,37,"No","0.953469369368469","0.891149109504578","0.801556854903474","1.54086148876152","0.326418613967762","0.585859153370985","0.981464292408923","0.82342240612163","0.598906907402346","0.333066622132188","0.562037703854438","0.423869425644041","0.83525286393772","0.695450843546757","1.21861862238028","1.60078044763984","1.39218853461898","0.901307194247943","0.967771370827326","0.948327676270606"
"1-Year","Credit Card","Yes","Other",74.38,2010-07-04,1,189.11,21,"Yes","-0.969086471141809","","","-1.10912525271796","-1.00546872813183","-0.784428784582691","-0.681761224849144","","-0.650309272057038","-1.0510425083412","-1.35066036787566","-1.31153836829517","-1.05001454674527","-0.92788534065251","-1.01559054526087","-0.729572215426139","-0.612493522707173","-0.734834719503306","-0.652653462683837","-0.482621369148731"
"2-Year","Bank Transfer","Yes","DSL2",63.81,2015-07-07,1,187.53,38,"No","-0.348577972351292","","-0.0806010243170634","-0.787612270237685","0.735323110982286","0.0252979478718059","0.222965044015637","-0.592466411460427","-0.163138365848876","-0.493118177722386","-0.205780367261736","-0.369584457407675","-0.686623252987387","-0.656234008670036","-0.60363271526312","-0.590906943047698","-0.453134029169083","","-0.71719032450843","0.169300967888942"
"1-Year","Credit Card","No","Other",78.98,2019-10-02,2,193.62,36,"Yes","0.379248444340076","-0.0737315548997006","-0.475252158091628","0.367894524490133","0.920722698720588","0.36548535845147","-0.388096133005936","0.391367988676536","0.298836999731592","0.801923213603318","0.167359572755949","0.470458764600354","-0.25221860201222","-0.0157073673265303","0.024496158216949","0.104929537740356","-0.132036484031191","","0.137565329526667",""
"2-Year","Credit Card","Yes","DSL1",99.89,2015-04-25,2,237.85,43,"No","-1.08601812395266","-0.951074141352479","-0.539867126251054","-0.69369225388244","-0.471959779875837","-1.26485804161937","-1.10921614340765","-0.437175010359738","-1.07316859252706","","-1.12305797835643","-0.878193227907304","-0.565705610977491","","-1.23154117821858","-1.04696632501411","","-0.891426136060648","-0.723101417350122","-0.505339748449479"
"1-Year","Bank Transfer","Yes","Other",63.36,2013-08-12,5,312.99,20,"No","-0.23335291356283","0.440220119848066","0.792408616933057","0.9260932951584","0.828624846725512","0.418611640296128","0.283773978064062","0.648939697508592","0.230095627226673","0.110060397305483","0.315013440280602","0.187081561265125","0.423215854245723","0.239332835932611","","0.131754946641679","1.00267370703499","0.646820348017988","0.511895423014384","0.328459579034258"
"Monthly","Bank Transfer","No","Fiber Optic",58.91,2020-07-09,3,214.44,24,"No","-0.34829289631171","-0.829188793813713","-0.777015369840351","-0.735614039428458","-0.600149197153618","-1.0948690740475","-0.772856685608848","-0.493490098500065","-0.59527317470384","-0.217250120797177","-0.50011434604753","-0.691764169945065","-0.470453819941159","-0.651260168481498","-0.438776983690515","-0.794698402814162","-0.416539258565617","-0.42928542229407","-0.912160625041986","-0.550729195640177"
"1-Year","Credit Card","Yes","DSL3",67.07,2017-04-16,3,211.28,34,"No","-0.0553749231387876","-0.335743958756138","-0.388109127946851","-0.359034024759751","-0.354156271557895","-0.370196231508654","0.200979098594361","-0.32132970160916","-0.633971915159685","-0.943216890233634","-0.228101244353229","0.28848199297961","-0.494593762575966","-0.873109779832225","-0.487270829491224","-0.35985998741804","-0.0672042494743008","-0.0846889958985793","-0.369583185185571","-0.542668958537107"
"Monthly","Credit Card","Yes","Fiber Optic",56.3,2013-03-03,3,149.42,27,"No","0.39815368027694","1.02209257161174","0.65996250248038","0.781782321960039","1.0724117009112","0.555319399629381","0.645482580377732","","0.835027869290134","1.09471337340615","0.660253842359564","0.868225959965416","0.502466890982369","-0.143932019187165","0.461828379730273","0.85004822284526","1.091421165515","0.36224613094618","0.532207676445462","0.0589677513021791"
"1-Year","Credit Card","Yes","DSL1",56.23,2016-02-24,1,195.68,47,"No","-1.14561933464492","-1.1294731467335","-1.2429495021911","-0.32425682983532","","-1.0105083555405","","-1.10162440574043","-1.44469771763573","-1.15676047784729","","-0.751297048250136","-1.04473078516666","","-1.08906093597238","-0.983882405850923","-1.21273393483453","-1.76058394197301","-1.06617405238768","-1.12567863531811"
"Monthly","Credit Card","Yes","Other",69.41,2012-12-17,3,180.53,37,"No","-0.587035343604159","0.268012819625074","-0.841531889631065","-0.526707344950493","-0.360739444335164","-0.898963190828034","","-0.0617354979205815","-0.146803136669574","0.43763673120841","-0.509296620563175","-0.111852759296662","-0.22102647248786","0.15215548228732","-0.462427708864136","","0.248241971671428","-0.0842919939064566","-0.12299128365112","-0.960028118869629"
"2-Year","Credit Card","No","Fiber Optic",80.39,2013-08-15,1,219.82,63,"No","-0.294844300019456","-0.551182368063766","0.0566419273682876","0.0838823080617394","-0.389410459537935","-0.276326027212999","-0.267146693457202","-0.26800563684603","0.0748478786941921","0.273883757568553","-0.0871038663638526","-0.480217147764578","-0.44941398322597","-0.29728006196749","0.179439557206477","-0.118158768736636","0.129589731127179","0.216955648323358","-0.267598947671161","-0.0103307396582537"
"Monthly","Bank Transfer","Yes","DSL2",70.17,2017-04-20,4,280.46,47,"No","0.441711541553049","","-0.13133388441213","-0.130553952858982","-0.0759896918956397","-0.0155803436641021","-0.474725184044254","0.152498300264652","0.568293913157498","0.0103439200312346","0.11610920026219","0.132453933529896","0.44654443953566","-0.520804450912029","-0.155925039003658","0.55334976996499","-0.294720041463124","0.190827303068082","-0.0469424331803997",""
"Monthly","Credit Card","Yes","DSL2",83.91,2019-10-06,8,170.56,30,"No","-2.04879595801916","-2.21291784160444","-1.62132459043413","-1.56351644034799","-2.38220745445993","-2.6363904025181","-2.09348094674369","-2.34825985936836","-2.46382826310477","-1.85499985655525","-2.303350732802","-1.72737463540915","-2.12209598430759","-2.41058784591681","-2.64234785822534","-1.96389043052111","-1.74568276202454","-2.06877575194739","-1.78534546612668","-1.12856802801413"
"2-Year","Bank Transfer","Yes","DSL3",81.28,2019-04-28,7,81.23,23,"No","-0.444401665730686","-0.476959022030944","0.142852840302698","-0.312569136530245","-0.446003942358986","-0.611949017412563","-0.299959268237765","-0.36567086288895","-0.29803794087272","-0.147013114580386","-0.434127900722881","-0.677867848717551","","0.0906890717873392","-0.172918673780063","","0.413101267465667","-0.79459311716511","-0.0705847371103151","0.0528437515095102"
"Monthly","Check","No","DSL3",70.12,2014-12-29,4,258.31,42,"No","2.88110480136576","1.93292405463863","2.4044204484146","2.88963541080316","1.97875662071255","2.50829578011066","2.24936574548965","1.67703968215742","2.26249575076262","1.69977843667625","3.22669304861044","2.72559861740697","2.44231051512021","2.48179649316777","2.17736664398923","2.58020335560998","2.35664821818225","2.65702990683749","2.21094780858849","2.3739790983242"
"2-Year","Bank Transfer","No","Other",71.8,2014-08-25,4,179.35,31,"No","0.963149252434458","1.29722365822861","2.02377656349605","","1.2564361749962","1.23900067534845","1.39842918822008","1.69020103382016","1.13118521193222","1.57412183707771","1.71780296709354","1.49374515565963","1.9618765083023","","1.61658515438346","1.09422931336663","1.82769904201705","1.88215951574371","1.04591587834385","1.84122417662583"
"Monthly","Credit Card","Yes","DSL3",48.22,2016-02-24,3,237.8,34,"No","0.348901083489982","-0.350419729580605","0.337850820233829","0.766031858187568","-0.0822075312054593","0.174942691439224","-0.419800521414153","0.584893207568854","0.193446001188121","0.422274791901351","0.567600840365105","","-0.177306633940699","-0.308849867980895","-0.176536844446142","-0.167410288316839","-0.0029754788001193","0.180848886670917","-0.0798381823414597","0.0979144610884913"
"Monthly","Bank Transfer","No","DSL1",86.77,2020-04-18,3,156.22,24,"No","0.094179142675885","-0.476163272777014","-0.452152779107171","","-0.11396992072574","-0.434943749236452","-0.955191949638782","0.251067021626217","-0.378355290229503","0.0799280451000551","","-0.297243510922736","0.0194285392570754","-0.223860278433886","0.0138155843126655","-0.227269741146262","-0.918728025318226","0.411387216849671","-0.277657032802647","0.427826690720774"
"Monthly","Check","No","DSL2",59,2018-11-08,3,244.29,31,"No","-0.310543714544559","-0.255247471870923","-0.936897364617463","-0.0785358857384275","-0.38898100415502","-0.0985764477817495","-0.605480100225841","-0.852646845006405","","0.0397798509944005","0.116911091255713","0.378590304985084","-0.450512221385916","-0.276287287991225","0.00858121806787283","-0.215108545641546","-0.508117988796439","-0.151639090105152","0.167985412270007","-0.810955758145976"
